,year,month,date,client_id_num,client_id,cusip_num,cusip,broker_name_num,broker_name,si_firm_id,si_primary_firm_name,fds_broker_id,sale,redemption,unique_zip_count,hoa_sale,hoa_redemption,hoa_unique_zip_count,hhoa,home_office_activity,sale_std_dev_from_mean,redemption_std_dev_from_mean,unique_zip_count_std_dev_from_mean,day_of_week,fund_id,hoa_last_year
24119,2018.0,3.0,2018-03-29,24,PIMCO,23720,72201F490,162,UBS Financial Services Inc,3614,UBS FINANCIAL SERVICES INC.,LMS44920,94000000.0,-271029.16,4,94000000.0,-271029.16,4.0,1.0,1,5.040616045145471,-0.020740987974183958,0.8941620314928291,3,FSUSA07XD8,1
24643,2018.0,4.0,2018-04-13,24,PIMCO,4997,693390841,268,GENEOS WEALTH MANAGEMENT INC,28446,"GENEOS WEALTH MANAGEMENT, INC.",LMS17920,43212066.62,0.0,57,43212066.62,0.0,57.0,0.0,1,0.0,0.0,0.0,4,FSUSA001ZK,1
24714,2018.0,4.0,2018-04-16,24,PIMCO,4866,693390700,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,48504.4499,-45590833.2562,56,0.0,-46798306.1562,46.0,1.0,1,-0.44074989847228907,-3.7031391179926114,0.29401321800239155,0,FSUSA001ZG,1
24914,2018.0,4.0,2018-04-20,24,PIMCO,5016,72201M792,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,78939497.75,-21143.07,24,78939497.75,-21143.07,24.0,1.0,1,6.9330545459627855,0.5359793520894371,4.914547024078124,4,FSUSA04ZO4,0
25675,2018.0,5.0,2018-05-15,24,PIMCO,4935,72201M669,581,Raymond James & Associates,477,"RAYMOND JAMES & ASSOCIATES, INC.",LMS36230,31081626.4902,-243.74,250,31081626.4902,-243.74,250.0,1.0,1,0.0,0.0,0.0,1,FSUSA001ZF,1
25713,2018.0,5.0,2018-05-15,24,PIMCO,4935,72201M669,154901,Raymond James Financial Services (Firm),2562,"RAYMOND JAMES FINANCIAL SERVICES, INC.",LMS36240,52275790.79,-3201.92,663,52275790.79,-3201.92,663.0,1.0,1,0.7071067811865475,-0.7071067811865475,0.7071067811865475,1,FSUSA001ZF,1
25724,2018.0,5.0,2018-05-16,24,PIMCO,4935,72201M669,154901,Raymond James Financial Services (Firm),2562,"RAYMOND JAMES FINANCIAL SERVICES, INC.",LMS36240,40276613.75,-5189.98,538,40276613.75,-5189.98,538.0,1.0,1,0.3368619821043714,-1.1506761575371949,0.3310326107659252,2,FSUSA001ZF,1
25762,2018.0,5.0,2018-05-16,24,PIMCO,4935,72201M669,581,Raymond James & Associates,477,"RAYMOND JAMES & ASSOCIATES, INC.",LMS36230,22216277.14,-2283.16,207,22216277.14,-2283.16,207.0,1.0,1,-0.7071067811865474,-0.7071067811865476,-0.7071067811865475,2,FSUSA001ZF,1
26062,2018.0,5.0,2018-05-24,24,PIMCO,5016,72201M792,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,59318213.97,-296310.14,10,59318213.97,-296310.14,10.0,1.0,1,4.730143511855591,0.29462185181554984,1.119778376794492,3,FSUSA04ZO4,0
26585,2018.0,6.0,2018-06-11,24,PIMCO,4883,693390601,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,32936046.38,-153409.94,1569,32690419.31,0.0,1564.0,0.0,1,3.584300895734548,0.13011392074465067,2.2365051226736505,0,FSUSA001ZH,1
26651,2018.0,6.0,2018-06-12,24,PIMCO,4883,693390601,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,55492298.1099,-214726.86,1396,55082608.9199,0.0,1377.0,0.0,1,5.004964565999098,0.12062822942214985,1.7400056497444076,1,FSUSA001ZH,1
26679,2018.0,6.0,2018-06-13,24,PIMCO,4883,693390601,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,27767278.12,-190505.97,1592,27580580.66,0.0,1589.0,0.0,1,2.1278458470411525,0.12310686751633824,2.1352759784235653,2,FSUSA001ZH,1
26717,2018.0,6.0,2018-06-14,24,PIMCO,4948,72201M685,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,100286.27,-55266088.68,11,0.0,-55266088.68,1.0,1.0,1,-0.2680528410236848,-6.700340839998251,-0.5743105526638375,3,FSUSA004US,1
26760,2018.0,6.0,2018-06-15,24,PIMCO,4883,693390601,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,4043394.03,-288626.04,717,3973279.04,0.0,600.0,0.0,1,-0.18076981668909395,0.10829052507003006,0.016723592316720347,4,FSUSA001ZH,1
26826,2018.0,6.0,2018-06-19,24,PIMCO,4883,693390601,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,11381670.66,-294642.69,991,11273245.01,0.0,873.0,0.0,1,0.5497118576138968,0.10563160616387192,0.6971634901412429,1,FSUSA001ZH,1
27029,2018.0,6.0,2018-06-26,24,PIMCO,4878,72201M636,154902,LPL Financial Corporation (Firm),2400,LPL FINANCIAL LLC,LMS26830,2077538.1999,-6184.65,111,2046637.5599,0.0,110.0,0.0,1,1.1546940313610088,1.1408502088099146,1.1546593258134017,1,FSUSA0041O,1
27088,2018.0,6.0,2018-06-27,24,PIMCO,4948,72201M685,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,72661525.8499,-547266.41,10,72661525.8499,-547266.41,10.0,1.0,1,5.347635202472434,0.2793072578150737,-0.8884120268757225,2,FSUSA004US,1
27109,2018.0,6.0,2018-06-27,24,PIMCO,4948,72201M685,1679,MERRILL LYNCH PIERCE FENNER & SMITH,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,5003752.32,0.0,1,4981828.32,0.0,1.0,0.0,1,0.10240926245542784,0.34643605804015165,-2.3190254185157144,2,FSUSA004US,1
27227,2018.0,7.0,2018-07-02,24,PIMCO,4904,72201F474,9639,Barber Financial Group,53154,BARBER FINANCIAL GROUP,LMS104610,491873.41,-134682724.68,1,0.0,-134682724.68,1.0,1.0,1,-0.3326179651799862,-4.79887838385812,-0.9413574486632832,0,FSUSA07XD8,1
27580,2018.0,7.0,2018-07-13,24,PIMCO,28500,72201U638,174052,AssetMark - PARENT,18111,"ASSETMARK, INC.",LMS18000,57879190.44,0.0,1,57879190.44,0.0,1.0,1.0,1,1.4989764724361712,0.5003623663781517,0.0,4,FS00009OHZ,1
27984,2018.0,7.0,2018-07-27,24,PIMCO,4959,72201M594,17951,Morgan Stanley Wealth Management,51410,MORGAN STANLEY,LMS29880,46869235.6699,-2003478.6901,462,46869235.6699,-2003478.6901,462.0,1.0,1,9.691161745865472,-0.4915388211026009,6.34264107737497,4,FSUSA001ZH,1
28046,2018.0,7.0,2018-07-30,24,PIMCO,5249,72201F672,151719,Jordan Park Group LLC,76447,JORDAN PARK GROUP LLC,LMS731570,68849785.0,0.0,1,68849785.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0,FSUSA075ZS,0
28547,2018.0,8.0,2018-08-15,24,PIMCO,23720,72201F490,162,UBS Financial Services Inc,3614,UBS FINANCIAL SERVICES INC.,LMS44920,0.0,-103430480.39,2,0.0,-103430480.39,2.0,1.0,1,-0.3365938951059872,-5.729974998204553,-0.7104339988622219,2,FSUSA07XD8,1
28798,2018.0,8.0,2018-08-23,24,PIMCO,23735,72201T524,125630,Foresters Financial,196,"FORESTERS FINANCIAL SERVICES, INC.",LMS15910,39931678.83,0.0,44,39931678.83,0.0,44.0,1.0,1,0.0,0.0,0.0,3,FS000093HV,0
28846,2018.0,8.0,2018-08-24,24,PIMCO,23720,72201F490,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,1462085.0,-23608641.4125,228,0.0,-24233719.1249,200.0,1.0,1,-0.8352231060964155,-8.292653515304126,2.310159724429313,4,FSUSA07XD8,1
29808,2018.0,9.0,2018-09-26,24,PIMCO,23720,72201F490,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,29603623.1802,-1372693.5104,173,29669655.3402,-1454569.1104,188.0,1.0,1,11.943737120688784,0.11592567939636204,0.22036944765147204,2,FSUSA07XD8,1
