,year,month,date,client_id_num,client_id,cusip_num,cusip,broker_name_num,broker_name,si_firm_id,si_primary_firm_name,fds_broker_id,sale,redemption,unique_zip_count,hoa_sale,hoa_redemption,hoa_unique_zip_count,hhoa,home_office_activity,sale_std_dev_from_mean,redemption_std_dev_from_mean,unique_zip_count_std_dev_from_mean,day_of_week,fund_id,hoa_last_year
12691,2017.0,4.0,2017-04-07,24,PIMCO,4971,72201M784,9,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,3341006.8005,0.0,25,3341006.8005,0.0,25.0,0.0,1,0.8228175823896479,0.2582531242145769,-0.834079759205973,4,FSUSA00203,0
12699,2017.0,4.0,2017-04-07,24,PIMCO,4935,72201M669,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,160023.04,-7186863.67,3,0.0,-7186863.67,1.0,0.0,1,-0.8935413232629569,-2.816837306048141,-0.7812685983945409,4,FSUSA001ZF,0
12703,2017.0,4.0,2017-04-07,24,PIMCO,4971,72201M784,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,16396125.4894,-642958.34,169,16396125.4894,0.0,169.0,0.0,1,4.220065726677223,-2.9741391199959555,1.3509708669966165,4,FSUSA00203,0
12709,2017.0,4.0,2017-04-07,24,PIMCO,4971,72201M784,569,MERRILL LYNCH PIERCE FENNER & SMITH INC,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,4199195.5201,0.0,49,4199195.5201,0.0,49.0,0.0,1,0.4759621560585758,0.3241090672464463,-0.4912026509671351,4,FSUSA00203,0
12829,2017.0,4.0,2017-04-12,24,PIMCO,4980,722005816,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,351475.46,-1890256.88,232,0.0,-1880400.39,130.0,0.0,1,-0.6234353085899071,-3.021736564953041,-2.2083218451142907,2,FSUSA004US,1
13080,2017.0,4.0,2017-04-21,24,PIMCO,4980,722005816,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,411245.72,-1267558.91,120,0.0,-1266490.78,78.0,0.0,1,-0.570432259935735,-1.2045471237656582,-2.2614583671000053,4,FSUSA004US,1
13151,2017.0,4.0,2017-04-25,24,PIMCO,4980,722005816,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,704954.56,-1200996.74,208,0.0,-1194758.02,144.0,0.0,1,-0.4004594243318366,-0.9696883478430588,-1.6575903850900535,1,FSUSA004US,1
13307,2017.0,5.0,2017-05-01,24,PIMCO,4955,72201M743,156563,PNC Investments - Broker Dealer,35145,PNC INVESTMENTS,LMS34440,4044101.0,0.0,99,3725504.0,0.0,91.0,0.0,1,0.0,0.0,0.0,0,FSUSA004EP,0
13484,2017.0,5.0,2017-05-05,24,PIMCO,4948,72201M685,154902,LPL Financial Corporation (Firm),2400,LPL FINANCIAL LLC,LMS26830,2905688.21,-182841.7,183,2905688.21,-182841.7,183.0,1.0,1,0.21171114130875135,0.8599399362749336,0.8296783548161392,4,FSUSA004US,1
13732,2017.0,5.0,2017-05-16,24,PIMCO,5004,72201M719,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,6852881.2893,-2743441.96,128,6852881.2893,-2743441.96,128.0,1.0,1,0.2120224163761612,-2.987101205166089,0.2403674959558061,1,FSUSA07XD8,1
13746,2017.0,5.0,2017-05-16,24,PIMCO,5004,72201M719,569,MERRILL LYNCH PIERCE FENNER & SMITH INC,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,2243485.6798,0.0,27,2243485.6798,0.0,27.0,0.0,1,-0.7916292183133128,0.3703994762315739,-2.200816189291591,1,FSUSA07XD8,1
13747,2017.0,5.0,2017-05-16,24,PIMCO,5004,72201M719,1679,MERRILL LYNCH PIERCE FENNER & SMITH,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,1707765.04,0.0,33,1707765.04,0.0,33.0,0.0,1,-0.9057221496898328,0.3696646671990811,-2.0368074859393004,1,FSUSA07XD8,1
14873,2017.0,6.0,2017-06-26,24,PIMCO,4948,72201M685,162,UBS Financial Services Inc,3614,UBS FINANCIAL SERVICES INC.,LMS44920,34840049.4112,-38129.6399,118,34840049.4112,0.0,111.0,0.0,1,4.398516161162206,0.8368517571630607,4.331600233286725,0,FSUSA004US,1
14885,2017.0,6.0,2017-06-26,24,PIMCO,5004,72201M719,162,UBS Financial Services Inc,3614,UBS FINANCIAL SERVICES INC.,LMS44920,4574674.61,-19591752.0881,233,0.0,-19591752.0881,221.0,0.0,1,0.34838481969791496,-11.025758180259464,5.606430108230429,0,FSUSA07XD8,1
14887,2017.0,6.0,2017-06-26,24,PIMCO,4948,72201M685,17951,Morgan Stanley Wealth Management,51410,MORGAN STANLEY,LMS29880,1691308.3107,-141788.7702,53,1246312.34,0.0,3.0,0.0,1,0.26186274322197617,0.5795399309018309,0.526693486904115,0,FSUSA004US,1
15179,2017.0,7.0,2017-07-07,24,PIMCO,4959,72201M594,17951,Morgan Stanley Wealth Management,51410,MORGAN STANLEY,LMS29880,4025526.54,-349382.37,483,3919677.31,0.0,478.0,0.0,1,1.1186866846766208,0.8041753883590227,4.199147243543507,4,FSUSA001ZH,0
15183,2017.0,7.0,2017-07-07,24,PIMCO,4971,72201M784,17951,Morgan Stanley Wealth Management,51410,MORGAN STANLEY,LMS29880,118247.26,-10540773.96,420,0.0,-10455175.05,412.0,0.0,1,-1.0553544771285748,-4.412737949068827,3.267516852175785,4,FSUSA00203,1
15202,2017.0,7.0,2017-07-07,24,PIMCO,4943,72201M735,17951,Morgan Stanley Wealth Management,51410,MORGAN STANLEY,LMS29880,4414.61,-13090905.53,298,0.0,-13066588.15,294.0,0.0,1,-0.7071067811835341,-0.7071067811865475,0.7071067811865474,4,FSUSA001ZK,0
15322,2017.0,7.0,2017-07-12,24,PIMCO,4948,72201M685,154902,LPL Financial Corporation (Firm),2400,LPL FINANCIAL LLC,LMS26830,1448384.1,-145574.46,136,1239922.21,0.0,123.0,0.0,1,-0.1826753454005598,0.8645686792633667,0.2913657655199195,2,FSUSA004US,1
15336,2017.0,7.0,2017-07-12,24,PIMCO,28503,72201U646,154902,LPL Financial Corporation (Firm),2400,LPL FINANCIAL LLC,LMS26830,1671032.35,-3652.08,108,1423573.77,0.0,101.0,0.0,1,-0.3144397793419283,0.5875299944784755,-0.02059631250574886,2,FS00009OHZ,1
15798,2017.0,7.0,2017-07-28,24,PIMCO,23720,72201F490,17196,First Republic Investment Management Inc,17676,"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.",LMS245730,55535131.65,-356932.19,1,55535131.65,-356932.19,1.0,1.0,1,6.320315411802735,0.4063165622541552,-0.2527576391226811,4,FSUSA07XD8,1
15946,2017.0,8.0,2017-08-02,24,PIMCO,5004,72201M719,17951,Morgan Stanley Wealth Management,51410,MORGAN STANLEY,LMS29880,17429036.72,-3716096.3,232,17429036.72,-3716096.3,232.0,1.0,1,3.1603001381570714,-1.2621806085649026,1.8992864721145808,2,FSUSA07XD8,1
16666,2017.0,8.0,2017-08-28,24,PIMCO,4867,722005667,1998,Wells Fargo Advisors (PCG),83334,WELLS FARGO BANK,LMS46920,1166486.92,-2211.69,39,8861377.04,-23656.26,294.0,1.0,1,0.0,0.0,0.0,0,FSUSA00GO1,0
